id,trial_id,session_id,goal_choice,reaction_time_ms,trial_name,global_trial_name,repeat_instance_index,symmetry_transform
73,14359,365,red,1407.0,L15,L15,0,7
104,14430,366,green,3961.0,L15,L15,0,0
180,14616,367,green,2189.0,L15,L15,0,1
58,14325,368,red,3010.0,L15,L15,0,2
292,14865,369,red,3701.0,L15,L15,0,3
277,14821,371,red,521.0,L15,L15,0,5
587,15575,373,red,1248.0,L15,L15,0,7
198,14653,374,red,2254.0,L15,L15,0,0
342,14993,375,green,1899.0,L15,L15,0,1
653,15744,376,red,878.0,L15,L15,0,2
466,15289,379,red,1781.0,L15,L15,0,5
536,15468,380,red,1200.0,L15,L15,0,6
547,15494,381,red,537.0,L15,L15,0,7
625,15663,384,green,3779.0,L15,L15,0,2
710,15857,386,red,1484.0,L15,L15,0,4
732,15908,387,red,1664.0,L15,L15,0,4
842,16172,391,red,749.0,L15,L15,0,7
873,16242,393,green,1652.0,L15,L15,0,1
