id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
2361,16383,463,108,5.809375,9.7,5.991448598723963,10.37579424148472,0.6998918860625566,L13,2221.0,L13,0,6
2401,16489,464,108,7.040625,9.2046875,5.991448598723963,10.37579424148472,1.5723428763935343,L13,3604.0,L13,0,7
2478,16685,469,108,8.440000915527344,10.140000152587891,5.991448598723963,10.37579424148472,2.459879529668453,L13,2120.0,L13,0,4
2776,17441,471,108,5.909375,13.75,5.991448598723963,10.37579424148472,3.3752037829448436,L13,3551.0,L13,0,6
3295,18616,472,108,9.195833206176758,7.457638931274413,5.991448598723963,10.37579424148472,4.334017896477703,L13,2392.0,L13,0,7
2666,17147,474,108,8.009375,9.71484375,5.991448598723963,10.37579424148472,2.123412939859026,L13,1716.0,L13,0,1
2540,16848,478,108,4.6125,13.290625,5.991448598723963,10.37579424148472,3.224552308260722,L13,2747.0,L13,0,5
2596,16988,480,108,10.140625,9.7546875,5.991448598723963,10.37579424148472,4.195406820944035,L13,2026.0,L13,0,7
2924,17782,481,108,6.075,10.634765625,5.991448598723963,10.37579424148472,0.27211581015260394,L13,3498.0,L13,0,0
2650,17111,482,108,7.040000152587891,11.565937805175782,5.991448598723963,10.37579424148472,1.58615953274118,L13,4489.0,L13,0,1
3024,17983,483,108,6.189999389648438,11.009999847412109,5.991448598723963,10.37579424148472,0.6645593782096993,L13,3256.0,L13,0,2
3084,18125,485,108,5.550000000000001,11.709375,5.991448598723963,10.37579424148472,1.4047471319769762,L13,2168.0,L13,0,4
3180,18341,486,108,6.4125,9.890625,5.991448598723963,10.37579424148472,0.6423966651527481,L13,1660.0,L13,0,5
2927,17788,488,108,6.740625,9.9546875,5.991448598723963,10.37579424148472,0.859416178549596,L13,2720.0,L13,0,7
2620,17035,489,108,6.3703125,9.659375,5.991448598723963,10.37579424148472,0.8104285195250955,L13,2548.0,L13,0,0
2836,17572,491,108,7.5,11.740625,5.991448598723963,10.37579424148472,2.0343279798698366,L13,2320.0,L13,0,2
3310,18638,501,108,4.8046875,13.259375,5.991448598723963,10.37579424148472,3.118243078453646,L13,2160.0,L13,0,4
3535,19184,502,108,7.5234375,10.954464340209961,5.991448598723963,10.37579424148472,1.637635208705419,L13,3368.0,L13,0,5
3150,18270,505,108,5.910714721679687,11.195535659790039,5.991448598723963,10.37579424148472,0.8237074430814726,L13,2403.0,L13,0,0
3701,19582,506,108,7.384765625,12.91015625,5.991448598723963,10.37579424148472,2.8921139545177517,L13,2993.0,L13,0,1
3382,18848,508,108,6.609999847412109,9.209999084472656,5.991448598723963,10.37579424148472,1.3197287582554398,L13,2441.0,L13,0,3
3712,19605,509,108,7.85,10.759375,5.991448598723963,10.37579424148472,1.8977216628073459,L13,4289.0,L13,0,4
3779,19771,510,108,7.4953125,10.490625,5.991448598723963,10.37579424148472,1.508241604207488,L13,2426.0,L13,0,5
3825,19883,515,108,7.6578125,11.390625,5.991448598723963,10.37579424148472,1.9510638431134424,L13,2063.0,L13,0,2
3813,19860,516,108,6.640000915527343,12.259999847412109,5.991448598723963,10.37579424148472,1.99269939354616,L13,3623.0,L13,0,2
4091,20502,517,108,6.540000152587891,11.409999084472656,5.991448598723963,10.37579424148472,1.170678634171749,L13,2240.0,L13,0,6
4019,20331,519,108,5.939684677124023,15.068203735351563,5.991448598723963,10.37579424148472,4.692694999860005,L13,2583.0,L13,0,6
4003,20295,521,108,4.94000015258789,14.340000915527344,5.991448598723963,10.37579424148472,4.101277653293672,L13,3620.0,L13,0,1
4077,20472,522,108,7.1,12.040625,5.991448598723963,10.37579424148472,2.0001369112562344,L13,2191.0,L13,0,2
4120,20577,524,108,6.15,11.934765625,5.991448598723963,10.37579424148472,1.5670131848411952,L13,2176.0,L13,0,4
