id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index
43,127,4,176,8.0,7.834765624999999,6.90597091180968,2.1646083172464152,5.774736664167286,T1A,6614.0,T1A,0
53,167,5,176,4.7,1.7400001525878905,6.90597091180968,2.1646083172464152,2.2464638339499508,T1A,2424.0,T1A,0
76,238,6,176,18.475,1.234765625,6.90597091180968,2.1646083172464152,11.606336264115297,T1A,3557.0,T1A,0
74,231,7,176,11.75,5.19000015258789,6.90597091180968,2.1646083172464152,5.711183201805454,T1A,2512.0,T1A,0
119,380,8,176,5.18984375,5.934765625,6.90597091180968,2.1646083172464152,4.142363885598259,T1A,2723.0,T1A,0
147,473,9,176,1.3,2.1400001525878904,6.90597091180968,2.1646083172464152,5.606024921976723,T1A,3738.0,T1A,0
198,634,10,176,5.359999084472657,1.9400001525878907,6.90597091180968,2.1646083172464152,1.5622028416793534,T1A,2533.0,T1A,0
288,922,11,176,11.95,7.159375,6.90597091180968,2.1646083172464152,7.09858603227821,T1A,1910.0,T1A,0
202,648,12,176,1.7234375000000002,0.27656250000000004,6.90597091180968,2.1646083172464152,5.515738352437085,T1A,3301.0,T1A,0
208,668,13,176,9.3296875,4.109375,6.90597091180968,2.1646083172464152,3.1074940949609715,T1A,6898.0,T1A,0
224,713,14,176,7.75,4.86953125,6.90597091180968,2.1646083172464152,2.833547806875267,T1A,3409.0,T1A,0
324,1028,15,176,12.2953125,4.559375,6.90597091180968,2.1646083172464152,5.897449467271794,T1A,5176.0,T1A,0
307,993,16,176,9.683332824707032,6.3765625,6.90597091180968,2.1646083172464152,5.04522519148831,T1A,3231.0,T1A,0
361,1151,17,176,5.675,5.584765625,6.90597091180968,2.1646083172464152,3.6349367801244914,T1A,4997.0,T1A,0
369,1178,18,176,12.560000610351562,3.6400001525878904,6.90597091180968,2.1646083172464152,5.843358015712018,T1A,2697.0,T1A,0
390,1244,19,176,9.125,7.634765625,6.90597091180968,2.1646083172464152,5.903110287450566,T1A,2446.0,T1A,0
392,1260,20,176,6.55,6.490000152587891,6.90597091180968,2.1646083172464152,4.340014956114013,T1A,3245.0,T1A,0
399,1286,21,176,9.0,6.484765625,6.90597091180968,2.1646083172464152,4.800907933497984,T1A,1894.0,T1A,0
457,1472,22,176,12.0453125,1.159375,6.90597091180968,2.1646083172464152,5.236728557239227,T1A,2425.0,T1A,0
481,1550,23,176,6.9,6.409375,6.90597091180968,2.1646083172464152,4.24477088225062,T1A,2873.0,T1A,0
