id,trial_id,session_id,goal_choice,reaction_time_ms,trial_name,global_trial_name,repeat_instance_index,symmetry_transform
966,16455,464,red,2498.0,L25,L25,0,6
1023,16600,469,red,1643.0,L25,L25,0,3
1868,18586,472,red,1436.0,L25,L25,0,6
1346,17415,474,red,1106.0,L25,L25,0,0
1136,16884,478,green,2641.0,L25,L25,0,4
1788,18393,480,red,1205.0,L25,L25,0,6
1575,17925,481,red,3317.0,L25,L25,0,7
1237,17127,483,red,2161.0,L25,L25,0,1
1528,17830,485,red,2576.0,L25,L25,0,3
1677,18160,486,red,1703.0,L25,L25,0,4
2046,19015,487,red,2265.0,L25,L25,0,5
1757,18331,488,red,3844.0,L25,L25,0,6
1631,18047,489,red,1219.0,L25,L25,0,7
1617,18010,491,red,779.0,L25,L25,0,1
1486,17741,497,red,3342.0,L25,L25,0,7
2168,19308,501,green,2904.0,L25,L25,0,3
1593,17962,502,red,3420.0,L25,L25,0,4
1803,18434,505,red,2078.0,L25,L25,0,7
2291,19601,508,green,996.0,L25,L25,0,2
2356,19762,509,red,1150.0,L25,L25,0,3
2375,19804,510,red,2877.0,L25,L25,0,4
2283,19581,511,red,1487.0,L25,L25,0,5
2455,19994,515,red,1524.0,L25,L25,0,1
2430,19938,516,green,2123.0,L25,L25,0,1
2559,20240,517,red,3394.0,L25,L25,0,5
2685,20528,519,red,1640.0,L25,L25,0,5
2609,20348,521,red,1425.0,L25,L25,0,0
2608,20344,522,green,1103.0,L25,L25,0,1
2515,20150,524,red,2313.0,L25,L25,0,3
2748,20702,526,green,4326.0,L25,L25,0,4
2952,21174,531,red,1816.0,L25,L25,0,6
2887,21016,532,green,2416.0,L25,L25,0,7
2908,21074,533,green,1981.0,L25,L25,0,0
2896,21041,534,red,1287.0,L25,L25,0,1
2998,21293,537,red,3521.0,L25,L25,0,4
3055,21417,538,red,3022.0,L25,L25,0,5
3124,21590,539,red,1259.0,L25,L25,0,6
3136,21613,540,green,1954.0,L25,L25,0,7
3247,21882,542,green,3431.0,L25,L25,0,6
3277,21951,544,red,1742.0,L25,L25,0,1
3385,22211,546,green,1429.0,L25,L25,0,3
3497,22467,548,red,3391.0,L25,L25,0,5
3510,22511,550,green,1537.0,L25,L25,0,7
3554,22607,552,red,1624.0,L25,L25,0,1
3634,22802,554,green,1093.0,L25,L25,0,3
