id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
1544,14488,365,140,13.790000915527344,7.740000152587891,10.773792210359385,6.694992772879476,3.1921082965300562,L31,2423.0,L31,0,4
1481,14328,366,140,13.1,9.240625,10.773792210359385,6.694992772879477,3.448403415544542,L31,3248.0,L31,0,5
1569,14547,367,140,10.509375,7.45,10.773792210359385,6.694992772879476,0.7999702332827529,L31,3262.0,L31,0,6
1625,14672,368,140,13.990625,6.9,10.773792210359385,6.694992772879477,3.223358676858451,L31,3355.0,L31,0,7
1626,14674,369,140,13.839295959472656,7.469047546386719,10.773792210359385,6.694992772879476,3.161720105926024,L31,3699.0,L31,0,0
1491,14356,371,140,13.55,6.990625,10.773792210359385,6.694992772879477,2.7919040286108454,L31,1768.0,L31,0,2
1854,15210,372,140,8.30999984741211,7.25,10.773792210359385,6.694992772879476,2.525530801608512,L31,4899.0,L31,0,3
1904,15317,373,140,13.25,9.059375,10.773792210359385,6.694992772879476,3.423727257449148,L31,2089.0,L31,0,4
1858,15220,374,140,10.7453125,9.090625,10.773792210359385,6.694992772879477,2.3958015071204435,L31,2757.0,L31,0,5
1914,15358,375,140,10.059375,8.2,10.773792210359385,6.694992772879476,1.6659647967897442,L31,1162.0,L31,0,6
1636,14699,376,140,10.890625,7.75,10.773792210359385,6.694992772879477,1.0614566171124202,L31,2614.0,L31,0,7
1805,15081,378,140,17.759375,6.699999999999999,10.773792210359385,6.694992772879477,6.985584584216741,L31,4475.0,L31,0,1
1740,14917,379,140,12.65,8.490625,10.773792210359385,6.694992772879477,2.597008040992929,L31,3168.0,L31,0,2
1844,15186,380,140,13.440625,8.6953125,10.773792210359385,6.694992772879476,3.333658071639902,L31,2552.0,L31,0,3
1902,15326,381,140,13.5,8.309375,10.773792210359385,6.694992772879476,3.168349552612493,L31,3117.0,L31,0,4
1883,15281,384,140,12.721033477783203,7.620913696289062,10.773792210359385,6.694992772879477,2.156172096555833,L31,4527.0,L31,0,7
2131,15860,386,140,13.491613006591797,7.3789627075195305,10.773792210359385,6.694992772879477,2.802563960362885,L31,2930.0,L31,0,1
2153,15912,387,140,13.19000015258789,8.440000915527344,10.773792210359385,6.694992772879477,2.9804553742667355,L31,3296.0,L31,0,1
2291,16240,393,140,12.384765625,8.06015625,10.773792210359385,6.694992772879476,2.1116123370407367,L31,3148.0,L31,0,6
