id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
28,82,4,64,11.765234375,8.7,12.165852759045492,9.848919023871986,1.2167621020767285,T24,2563.0,T24,0,3
42,125,5,64,12.509999847412109,8.5,12.165852759045492,9.848919023871986,1.3921277784007366,T24,2684.0,T24,0,3
58,180,7,64,12.509999847412109,8.7,12.165852759045492,9.848919023871986,1.199354885697381,T24,2327.0,T24,0,3
116,368,8,64,14.015234375,7.18984375,12.165852759045492,9.848919023871986,3.238964907736403,T24,2109.0,T24,0,3
180,573,10,64,12.80999984741211,4.109999084472657,12.165852759045492,9.848919023871986,5.774956929907477,T24,2593.0,T24,0,3
259,831,11,64,13.090625,8.9,12.165852759045492,9.848919023871986,1.3250098156263537,T24,2125.0,T24,0,3
190,605,13,64,13.190625,8.5796875,12.165852759045492,9.848919023871986,1.631289921203869,T24,3275.0,T24,0,3
203,654,14,64,14.43046875,8.05,12.165852759045492,9.848919023871986,2.89216099844656,T24,3283.0,T24,0,3
293,941,15,64,13.790625,6.1453125,12.165852759045492,9.848919023871986,4.044327647291137,T24,2749.0,T24,0,3
287,920,16,64,12.3234375,7.883332824707031,12.165852759045492,9.848919023871986,1.9718930135606831,T24,2603.0,T24,0,3
331,1056,17,64,13.265234375,6.625,12.165852759045492,9.848919023871986,3.406213999440206,T24,2547.0,T24,0,3
338,1082,18,64,12.90999984741211,7.060000610351563,12.165852759045492,9.848919023871986,2.8864893567095975,T24,2719.0,T24,0,3
365,1165,19,64,12.165234375,8.925,12.165852759045492,9.848919023871986,0.9239192308158702,T24,2429.0,T24,0,3
371,1183,20,64,12.109999847412109,7.699999999999999,12.165852759045492,9.848919023871986,2.149644742485804,T24,2350.0,T24,0,3
378,1211,21,64,12.915234375,8.55,12.165852759045492,9.848919023871986,1.4995877556539128,T24,3078.0,T24,0,3
454,1460,22,64,12.590625,7.995312500000001,12.165852759045492,9.848919023871986,1.9016541751922977,T24,2361.0,T24,0,3
478,1538,23,64,12.990625,8.7,12.165852759045492,9.848919023871986,1.414306958500904,T24,2372.0,T24,0,3
