id,trial_id,session_id,goal_choice,reaction_time_ms,trial_name,global_trial_name,repeat_instance_index,symmetry_transform
934,16369,463,red,998.0,L2,L2,0,5
989,16504,464,red,1537.0,L2,L2,0,6
1285,17247,469,red,836.0,L2,L2,0,3
1683,18162,472,red,1224.0,L2,L2,0,6
1147,16914,474,red,1937.0,L2,L2,0,0
1174,16977,478,red,2278.0,L2,L2,0,4
1163,16945,480,red,1577.0,L2,L2,0,6
1405,17536,481,red,871.0,L2,L2,0,7
1873,18598,482,red,1236.0,L2,L2,0,0
1641,18072,483,red,1256.0,L2,L2,0,1
2029,18982,485,red,1114.0,L2,L2,0,3
1293,17273,486,red,1121.0,L2,L2,0,4
1719,18240,487,red,1365.0,L2,L2,0,5
1299,17280,488,red,1439.0,L2,L2,0,6
1722,18248,489,red,1286.0,L2,L2,0,7
1202,17037,491,red,774.0,L2,L2,0,1
2013,18949,497,red,884.0,L2,L2,0,7
1949,18801,501,red,820.0,L2,L2,0,3
1663,18118,502,red,794.0,L2,L2,0,4
1841,18525,505,red,986.0,L2,L2,0,7
2279,19564,506,red,1388.0,L2,L2,0,0
1830,18485,508,red,1310.0,L2,L2,0,2
1979,18874,509,red,2320.0,L2,L2,0,3
2302,19621,510,red,1762.0,L2,L2,0,4
2237,19463,511,red,668.0,L2,L2,0,5
2413,19889,515,red,1006.0,L2,L2,0,1
2472,20039,516,red,1104.0,L2,L2,0,1
2643,20435,517,red,1126.0,L2,L2,0,5
2690,20549,519,red,934.0,L2,L2,0,5
2678,20512,521,red,3252.0,L2,L2,0,0
2524,20168,522,red,3740.0,L2,L2,0,1
2521,20165,524,red,598.0,L2,L2,0,3
2802,20815,526,red,1509.0,L2,L2,0,4
2941,21147,531,red,1113.0,L2,L2,0,6
2930,21128,532,red,669.0,L2,L2,0,7
2786,20784,533,red,1611.0,L2,L2,0,0
2886,21011,534,red,1133.0,L2,L2,0,1
3108,21552,537,red,2010.0,L2,L2,0,4
3061,21433,538,red,2513.0,L2,L2,0,5
3088,21502,539,red,1262.0,L2,L2,0,6
3095,21517,540,red,1625.0,L2,L2,0,7
3190,21749,541,red,1167.0,L2,L2,0,0
3273,21937,542,red,3012.0,L2,L2,0,6
3222,21828,544,red,1037.0,L2,L2,0,1
3351,22133,546,red,4464.0,L2,L2,0,3
3490,22446,548,red,1799.0,L2,L2,0,5
3416,22290,550,red,1848.0,L2,L2,0,7
3585,22675,552,red,1407.0,L2,L2,0,1
3572,22649,554,red,2356.0,L2,L2,0,3
