id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
726,12365,333,140,13.6765625,9.883332824707031,10.773792210359385,6.694992772879476,4.311796335694439,L27,2964.0,L27,0,6
647,12146,334,140,13.190625,8.0546875,10.773792210359385,6.694992772879477,2.773057966224541,L27,2613.0,L27,0,7
665,12196,335,140,6.509999084472656,9.44000015258789,10.773792210359385,6.694992772879476,5.070995694635579,L27,2313.0,L27,0,0
807,12556,339,140,12.8296875,5.809375,10.773792210359385,6.694992772879476,2.2385317245030216,L27,4308.0,L27,0,4
747,12416,340,140,12.91015625,9.490625,10.773792210359385,6.694992772879477,3.518467117820546,L27,1987.0,L27,0,5
766,12467,341,140,11.634765625,7.512499999999999,10.773792210359385,6.694992772879476,1.1872629393323986,L27,3475.0,L27,0,6
787,12512,342,140,8.97750015258789,10.418333435058594,10.773792210359385,6.694992772879477,4.133996957358505,L27,1882.0,L27,0,7
1032,13172,344,140,12.659375,8.0,10.773792210359385,6.694992772879477,2.2931346056055415,L27,3243.0,L27,0,1
936,12914,345,140,12.5,8.990625,10.773792210359385,6.694992772879477,2.8722326951711743,L27,2418.0,L27,0,2
1044,13213,346,140,12.1203125,8.55,10.773792210359385,6.694992772879476,2.2921973525600325,L27,2304.0,L27,0,3
1006,13113,347,140,10.2046875,8.059375,10.773792210359385,6.694992772879476,1.4783162831531007,L27,2421.0,L27,0,4
1160,13546,348,140,13.4,9.890625,10.773792210359385,6.694992772879477,4.136306647890159,L27,1780.0,L27,0,5
1059,13272,349,140,14.490000152587891,8.3,10.773792210359385,6.694992772879476,4.047993289148506,L27,2550.0,L27,0,6
1027,13162,350,140,12.440625,6.1,10.773792210359385,6.694992772879477,1.7698440463498253,L27,2407.0,L27,0,7
1008,13118,351,140,13.43984375,8.19921875,10.773792210359385,6.694992772879476,3.0611315885247867,L27,1921.0,L27,0,0
1272,13833,353,140,13.4546875,7.340624999999999,10.773792210359385,6.694992772879477,2.757542479584647,L27,3363.0,L27,0,2
1163,13550,354,140,13.290625,7.65,10.773792210359385,6.694992772879476,2.6919298086804924,L27,1625.0,L27,0,3
1235,13742,356,140,12.468125152587891,8.90999984741211,10.773792210359385,6.694992772879477,2.788730976510699,L27,1877.0,L27,0,5
1326,13970,358,140,13.590625,9.55,10.773792210359385,6.694992772879477,4.010687376461166,L27,4191.0,L27,0,7
1372,14092,359,140,9.4162109375,9.9935546875,10.773792210359385,6.694992772879477,3.5670068148243725,L27,2932.0,L27,0,1
