id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
51,161,4,92,13.65,9.534765625,12.506458864299903,10.493541135700449,1.4922924676340004,T9C,5299.0,T9C,0,4
66,198,5,92,13.75,9.09000015258789,12.506458864299903,10.493541135700449,1.8751858167805273,T9C,3764.0,T9C,0,4
81,263,7,92,13.5,9.490000152587891,12.506458864299903,10.493541135700449,1.4121680116454831,T9C,2581.0,T9C,0,4
121,388,8,92,13.26015625,9.884765625,12.506458864299903,10.493541135700449,0.9688484771313584,T9C,2510.0,T9C,0,4
210,677,10,92,13.740000915527343,9.390000152587891,12.506458864299903,10.493541135700449,1.6551219573056941,T9C,2359.0,T9C,0,4
300,967,11,92,13.65,10.309375,12.506458864299903,10.493541135700449,1.1582760873717046,T9C,2125.0,T9C,0,4
221,709,13,92,13.3203125,9.559375,12.506458864299903,10.493541135700449,1.2389608990729999,T9C,3577.0,T9C,0,4
234,750,14,92,13.6,9.71953125,12.506458864299903,10.493541135700449,1.3397475577997073,T9C,3584.0,T9C,0,4
344,1097,15,92,13.4546875,9.959375,12.506458864299903,10.493541135700449,1.0883340507816606,T9C,3896.0,T9C,0,4
329,1053,16,92,13.316667175292968,9.5765625,12.506458864299903,10.493541135700449,1.2236369255352229,T9C,2597.0,T9C,0,4
380,1214,17,92,13.375,10.134765625,12.506458864299903,10.493541135700449,0.9397252638306485,T9C,5564.0,T9C,0,4
387,1241,18,92,13.039999389648438,8.490000152587891,12.506458864299903,10.493541135700449,2.0733648890633853,T9C,2424.0,T9C,0,4
402,1291,19,92,12.875,10.434765625,12.506458864299903,10.493541135700449,0.3731985120029496,T9C,2463.0,T9C,0,4
406,1305,20,92,12.95,9.94000015258789,12.506458864299903,10.493541135700449,0.7093210549838131,T9C,3404.0,T9C,0,4
415,1327,21,92,12.7,9.884765625,12.506458864299903,10.493541135700449,0.6388002767975883,T9C,3773.0,T9C,0,4
459,1480,22,92,13.2046875,9.859375,12.506458864299903,10.493541135700449,0.9432337543689046,T9C,2637.0,T9C,0,4
483,1558,23,92,13.4,9.759375,12.506458864299903,10.493541135700449,1.1564668936020386,T9C,2037.0,T9C,0,4
