id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
57,175,4,240,15.015234375,14.9,10.025693325496722,4.474376686630089,11.55807688834784,T5D,3280.0,T5D,0,7
71,210,5,240,11.70999984741211,6.5,10.025693325496722,4.474376686630089,2.6343952375136133,T5D,2259.0,T5D,0,7
87,276,7,240,9.90999984741211,6.699999999999999,10.025693325496722,4.474376686630089,2.2286283032141028,T5D,2485.0,T5D,0,7
123,391,8,240,11.815234375,10.46015625,10.025693325496722,4.474376686630089,6.247560655897162,T5D,2990.0,T5D,0,7
215,691,10,240,11.80999984741211,5.740000915527343,10.025693325496722,4.474376686630089,2.18759101591718,T5D,2423.0,T5D,0,7
310,994,11,240,12.490625,7.5,10.025693325496722,4.474376686630089,3.9025997225409954,T5D,2147.0,T5D,0,7
228,724,13,240,12.540625,6.4203125,10.025693325496722,4.474376686630089,3.1798659589950455,T5D,2433.0,T5D,0,7
240,770,14,240,9.98046875,9.6,10.025693325496722,4.474376686630089,5.125822823000225,T5D,2974.0,T5D,0,7
354,1122,15,240,13.090625,7.854687500000001,10.025693325496722,4.474376686630089,4.56292749935379,T5D,7791.0,T5D,0,7
339,1079,16,240,11.9234375,6.316667175292968,10.025693325496722,4.474376686630089,2.6448945529980663,T5D,2645.0,T5D,0,7
388,1243,17,240,10.765234375,7.775,10.025693325496722,4.474376686630089,3.3824599362980465,T5D,3547.0,T5D,0,7
393,1264,18,240,17.309999847412108,12.639999389648438,10.025693325496722,4.474376686630089,10.94250956742866,T5D,2037.0,T5D,0,7
408,1308,19,240,11.265234375,9.875,10.025693325496722,4.474376686630089,5.541046307902352,T5D,2279.0,T5D,0,7
411,1322,20,240,12.80999984741211,9.5,10.025693325496722,4.474376686630089,5.745367916493053,T5D,2916.0,T5D,0,7
420,1343,21,240,10.615234375,10.2,10.025693325496722,4.474376686630089,5.7558944548744515,T5D,2377.0,T5D,0,7
461,1483,22,240,13.590625,11.1046875,10.025693325496722,4.474376686630089,7.527931942158267,T5D,2728.0,T5D,0,7
485,1561,23,240,11.490625,6.6,10.025693325496722,4.474376686630089,2.581530414561226,T5D,1820.0,T5D,0,7
