id,trial_id,session_id,goal_choice,reaction_time_ms,trial_name,global_trial_name,repeat_instance_index,symmetry_transform
955,16427,463,green,1364.0,L5,L5,0,2
1000,16531,464,green,2016.0,L5,L5,0,3
1026,16607,469,red,984.0,L5,L5,0,0
1254,17167,471,green,3197.0,L5,L5,0,2
2064,19051,472,green,512.0,L5,L5,0,3
1070,16719,474,green,1829.0,L5,L5,0,5
1542,17859,478,red,1462.0,L5,L5,0,1
1101,16786,480,red,1788.0,L5,L5,0,3
1123,16856,481,green,996.0,L5,L5,0,4
1324,17353,482,red,960.0,L5,L5,0,5
1395,17527,483,red,1612.0,L5,L5,0,6
2053,19033,485,green,1868.0,L5,L5,0,0
1431,17610,486,red,1483.0,L5,L5,0,1
1915,18707,487,green,1399.0,L5,L5,0,2
1563,17904,488,red,1248.0,L5,L5,0,3
1745,18302,489,green,1738.0,L5,L5,0,4
1249,17150,491,green,2524.0,L5,L5,0,6
2041,19011,497,red,1278.0,L5,L5,0,4
1936,18757,501,red,1437.0,L5,L5,0,0
2136,19235,502,green,1813.0,L5,L5,0,1
1871,18599,508,red,1501.0,L5,L5,0,7
2246,19484,509,green,2936.0,L5,L5,0,0
2373,19802,510,green,3423.0,L5,L5,0,1
2406,19881,515,red,1960.0,L5,L5,0,6
2467,20020,516,red,1235.0,L5,L5,0,6
2518,20158,517,green,2595.0,L5,L5,0,2
2666,20486,519,green,1064.0,L5,L5,0,2
2545,20218,522,green,1125.0,L5,L5,0,6
2554,20232,524,green,1543.0,L5,L5,0,0
2778,20772,526,green,1312.0,L5,L5,0,1
2810,20836,531,red,2325.0,L5,L5,0,3
2736,20674,533,red,1807.0,L5,L5,0,5
2904,21059,534,green,1503.0,L5,L5,0,6
3159,21662,537,green,2046.0,L5,L5,0,1
3127,21598,538,green,1490.0,L5,L5,0,2
3092,21510,539,green,938.0,L5,L5,0,3
3109,21556,540,green,3118.0,L5,L5,0,4
3169,21682,541,red,2743.0,L5,L5,0,5
3236,21852,542,green,1349.0,L5,L5,0,3
3295,21993,544,green,857.0,L5,L5,0,6
3338,22096,546,green,1780.0,L5,L5,0,0
3444,22358,548,red,2635.0,L5,L5,0,2
3529,22551,550,green,1555.0,L5,L5,0,4
3588,22679,552,green,822.0,L5,L5,0,6
3590,22683,554,green,975.0,L5,L5,0,0
