id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index,symmetry_transform
20,55,4,240,13.6,13.534765625,10.025693325496722,4.474376686630089,9.739934081806433,T5E,7481.0,T5E,0,4
33,95,5,240,12.1,11.09000015258789,10.025693325496722,4.474376686630089,6.933197099695087,T5E,2864.0,T5E,0,4
48,148,7,240,13.3,6.19000015258789,10.025693325496722,4.474376686630089,3.6965454245338005,T5E,2670.0,T5E,0,4
113,360,8,240,13.41015625,15.434765625,10.025693325496722,4.474376686630089,11.471038094596269,T5E,3301.0,T5E,0,4
167,531,10,240,10.640000915527343,5.540000152587891,10.025693325496722,4.474376686630089,1.2300110513199256,T5E,4520.0,T5E,0,4
239,767,11,240,11.7,8.609375,10.025693325496722,4.474376686630089,4.461111284406413,T5E,2542.0,T5E,0,4
175,555,13,240,17.0703125,10.459375,10.025693325496722,4.474376686630089,9.24374729884044,T5E,3071.0,T5E,0,4
193,609,14,240,16.3,10.76953125,10.025693325496722,4.474376686630089,8.887963502537204,T5E,3347.0,T5E,0,4
280,894,15,240,15.4046875,8.609375,10.025693325496722,4.474376686630089,6.784673122628106,T5E,3548.0,T5E,0,4
274,880,16,240,15.26666717529297,5.7765625,10.025693325496722,4.474376686630089,5.400323581674523,T5E,4878.0,T5E,0,4
309,990,17,240,13.025,10.334765625,10.025693325496722,4.474376686630089,6.583312163089969,T5E,7614.0,T5E,0,4
316,1012,18,240,16.539999389648436,9.34000015258789,10.025693325496722,4.474376686630089,8.130834840895677,T5E,3322.0,T5E,0,4
346,1100,19,240,16.225,8.734765625,10.025693325496722,4.474376686630089,7.5221218516270785,T5E,3462.0,T5E,0,4
353,1117,20,240,12.6,8.240000152587891,10.025693325496722,4.474376686630089,4.561466314877725,T5E,2621.0,T5E,0,4
360,1149,21,240,17.25,10.134765625,10.025693325496722,4.474376686630089,9.17772356638034,T5E,2654.0,T5E,0,4
451,1452,22,240,12.4046875,14.059375,10.025693325496722,4.474376686630089,9.875819254604883,T5E,4697.0,T5E,0,4
475,1530,23,240,16.4,12.109375,10.025693325496722,4.474376686630089,9.946104002360846,T5E,2889.0,T5E,0,4
