Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6797c05fa001814ec2a7238f,5d6153fd7218d40018fcfd2e,AWAITING REVIEW,Not Applicable,2025-01-27T17:22:40.198000Z,2025-01-27T17:35:09.842000Z,,2025-01-27T17:35:10.604611Z,750,CYBX6B9B,159,English,Yes,"No, I have no issues seeing colours",34,Male,White,Canada,Canada,Canada,English,No,Full-Time
6797c11b5362a2023dbc174f,667fc1a334b04afaf3db84c3,AWAITING REVIEW,Not Applicable,2025-01-27T17:25:14.670000Z,2025-01-27T17:39:57.625000Z,,2025-01-27T17:41:00.814984Z,883,CYBX6B9B,94,English,Yes,"No, I have no issues seeing colours",62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6797c1326d0797c107702ff1,5cd6f56d4a405a001747f8bc,AWAITING REVIEW,Not Applicable,2025-01-27T17:24:48.458000Z,2025-01-27T17:49:42.494000Z,,2025-01-27T17:49:43.386224Z,1495,CYBX6B9B,742,English,Yes,"No, I have no issues seeing colours",37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6797c1a3dac1345646e46be8,5f1dd7e5d9b72708e0a82572,AWAITING REVIEW,Not Applicable,2025-01-27T17:31:47.866000Z,2025-01-27T17:47:28.222000Z,,2025-01-27T17:47:31.931648Z,941,CYBX6B9B,224,"English, Hindi",Yes,"No, I have no issues seeing colours",41,Female,Asian,India,Canada,Canada,English,No,Full-Time
6797c2e5452ec23fdf4cd510,66fd75a114eba53c2f24a190,AWAITING REVIEW,Not Applicable,2025-01-27T17:32:00.595000Z,2025-01-27T17:45:20.681000Z,,2025-01-27T17:46:37.306547Z,801,CYBX6B9B,192,English,Yes,"No, I have no issues seeing colours",56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6797c2fa9a0f6f1359f60976,5eb331bc1f70081249e6fb7a,AWAITING REVIEW,Not Applicable,2025-01-27T17:31:38.413000Z,2025-01-27T17:47:12.154000Z,,2025-01-27T17:47:27.951697Z,934,CYBX6B9B,1535,English,Yes,"No, I have no issues seeing colours",50,Female,White,Ireland,United Kingdom,United Kingdom,English,No,Part-Time
6797c3d4ba69cbe97e8877fc,66f552de04c863082af5586c,AWAITING REVIEW,Not Applicable,2025-01-27T17:35:23.319000Z,2025-01-27T17:55:39.622000Z,,2025-01-27T17:57:12.343130Z,1217,CYBX6B9B,133,"English, Spanish, German",Yes,"No, I have no issues seeing colours",65,Male,Mixed,Germany,United Kingdom,Germany,German,No,Full-Time
6797c48d1b06aedbee18d96b,5f1f3c16c16ecb113825c502,AWAITING REVIEW,Not Applicable,2025-01-27T17:38:26.997000Z,2025-01-27T17:52:33.299000Z,,2025-01-27T17:52:34.136259Z,847,CYBX6B9B,796,English,Yes,"No, I have no issues seeing colours",44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6797c4f7da35a7a6ad09c14c,628781515f29a0394e23b15b,AWAITING REVIEW,Not Applicable,2025-01-27T17:41:40.116000Z,2025-01-27T17:59:13.181000Z,,2025-01-27T17:59:33.289850Z,1054,CYBX6B9B,2713,English,Yes,"No, I have no issues seeing colours",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6797c6376ce6776e4b1a0b8c,5a5bed3a76d1c60001ab3c4c,AWAITING REVIEW,Not Applicable,2025-01-27T17:46:02.520000Z,2025-01-27T18:04:00.810000Z,,2025-01-27T18:04:01.605991Z,1079,CYBX6B9B,1808,"English, Ukrainian",Yes,"No, I have no issues seeing colours",33,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
6797c6b8d88c47d782098da6,66f7d3e4d8454f1148f77381,AWAITING REVIEW,Not Applicable,2025-01-27T17:47:47.284000Z,2025-01-27T18:02:59.206000Z,,2025-01-27T18:03:00.874812Z,912,CYBX6B9B,530,English,Yes,"No, I have no issues seeing colours",40,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
6797c6c14830ede4cb52a4dd,66d042517a5a2a2868f1a2a0,AWAITING REVIEW,Not Applicable,2025-01-27T17:48:11.907000Z,2025-01-27T18:03:46.565000Z,,2025-01-27T18:03:47.354108Z,935,CYBX6B9B,296,English,Yes,"No, I have no issues seeing colours",54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6797c73b7445eb17abc3c0b4,668ebf594982c57c983cd910,AWAITING REVIEW,Not Applicable,2025-01-27T17:50:36.838000Z,2025-01-27T18:03:56.339000Z,,2025-01-27T18:03:57.117719Z,800,CYBX6B9B,1124,English,Yes,"No, I have no issues seeing colours",69,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6797c7e1a77a1190434b574e,61528277afcb4906d01e0442,AWAITING REVIEW,Not Applicable,2025-01-27T17:56:33.720000Z,2025-01-27T18:13:07.758000Z,,2025-01-27T18:13:08.881539Z,995,CYBX6B9B,1354,English,Yes,"No, I have no issues seeing colours",32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
