id,trial_id,session_id,goal_choice,reaction_time_ms,trial_name,global_trial_name,repeat_instance_index,symmetry_transform
960,16442,463,green,2285.0,L8,L8,0,5
991,16509,464,green,1698.0,L8,L8,0,6
1180,16999,469,green,1188.0,L8,L8,0,3
1982,18882,472,green,2016.0,L8,L8,0,6
1065,16709,474,green,1335.0,L8,L8,0,0
1428,17606,478,green,2118.0,L8,L8,0,4
1126,16866,480,red,2389.0,L8,L8,0,6
1370,17468,481,red,1279.0,L8,L8,0,7
1652,18096,483,green,1636.0,L8,L8,0,1
1988,18900,485,red,1587.0,L8,L8,0,3
1387,17509,486,green,857.0,L8,L8,0,4
1935,18753,487,green,3164.0,L8,L8,0,5
1442,17635,488,red,1256.0,L8,L8,0,6
1210,17057,489,green,1604.0,L8,L8,0,7
1327,17363,491,green,1233.0,L8,L8,0,1
1976,18881,497,green,1017.0,L8,L8,0,7
1902,18656,501,green,1449.0,L8,L8,0,3
1810,18447,502,green,1955.0,L8,L8,0,4
2061,19054,505,green,1381.0,L8,L8,0,7
2110,19175,506,green,1229.0,L8,L8,0,0
1924,18730,508,green,1409.0,L8,L8,0,2
2012,18945,509,green,2220.0,L8,L8,0,3
2370,19796,510,green,1974.0,L8,L8,0,4
2119,19195,511,red,1144.0,L8,L8,0,5
2427,19927,515,green,1848.0,L8,L8,0,1
2475,20049,516,green,1351.0,L8,L8,0,1
2543,20211,519,green,1286.0,L8,L8,0,5
2622,20384,521,green,1069.0,L8,L8,0,0
2596,20322,522,green,971.0,L8,L8,0,1
2699,20572,524,red,937.0,L8,L8,0,3
2790,20792,526,green,916.0,L8,L8,0,4
2823,20857,531,green,1341.0,L8,L8,0,6
2856,20933,532,red,2384.0,L8,L8,0,7
2806,20833,533,green,898.0,L8,L8,0,0
2939,21145,534,green,1007.0,L8,L8,0,1
3087,21498,537,red,3588.0,L8,L8,0,4
3065,21449,538,green,3375.0,L8,L8,0,5
3111,21558,539,red,1322.0,L8,L8,0,6
3156,21657,540,green,1696.0,L8,L8,0,7
3175,21710,541,green,1361.0,L8,L8,0,0
3255,21901,544,green,1620.0,L8,L8,0,1
3420,22296,546,red,1342.0,L8,L8,0,3
3411,22274,548,red,1578.0,L8,L8,0,5
3456,22383,550,green,2087.0,L8,L8,0,7
3575,22653,552,green,1464.0,L8,L8,0,1
3608,22734,554,green,1778.0,L8,L8,0,3
