id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index
83,268,4,68,5.65,8.384765625,5.456539241395637,11.195547572178649,2.817431848280482,T3A,3016.0,T3A,1
92,288,5,68,5.4,10.34000015258789,5.456539241395637,11.195547572178649,0.8574135950555012,T3A,2156.0,T3A,1
103,329,6,68,13.225,1.484765625,5.456539241395637,11.195547572178649,12.435765701541124,T3A,2385.0,T3A,1
104,330,7,68,8.7,10.19000015258789,5.456539241395637,11.195547572178649,3.395756661725339,T3A,2453.0,T3A,1
129,412,8,68,7.13984375,9.734765625,5.456539241395637,11.195547572178649,2.228766018650415,T3A,3120.0,T3A,1
197,629,9,68,17.6,15.490000152587891,5.456539241395637,11.195547572178649,12.880448833839125,T3A,4287.0,T3A,1
251,805,10,68,9.659999084472656,10.240000152587891,5.456539241395637,11.195547572178649,4.310701279774282,T3A,2955.0,T3A,1
359,1153,11,68,8.55,10.659375,5.456539241395637,11.195547572178649,3.139582853211833,T3A,1976.0,T3A,1
255,817,12,68,17.0234375,9.5265625,5.456539241395637,11.195547572178649,11.686686720198322,T3A,4329.0,T3A,1
265,850,13,68,6.4296875,11.959375,5.456539241395637,11.195547572178649,1.2371135245873295,T3A,2467.0,T3A,1
276,889,14,68,8.35,9.81953125,5.456539241395637,11.195547572178649,3.203987528141361,T3A,2862.0,T3A,1
400,1288,15,68,5.3953125,10.009375,5.456539241395637,11.195547572178649,1.1877516932637222,T3A,4057.0,T3A,1
383,1234,16,68,5.233332824707031,13.1765625,5.456539241395637,11.195547572178649,1.993549911264325,T3A,2445.0,T3A,1
430,1387,17,68,9.025,9.684765625,5.456539241395637,11.195547572178649,3.8750966797771813,T3A,3714.0,T3A,1
429,1378,18,68,7.210000610351562,9.740000152587891,5.456539241395637,11.195547572178649,2.2788692509878885,T3A,3056.0,T3A,1
436,1407,19,68,7.125,11.534765625,5.456539241395637,11.195547572178649,1.7025951340123568,T3A,2179.0,T3A,1
441,1419,20,68,6.9,9.490000152587891,5.456539241395637,11.195547572178649,2.2343837991946183,T3A,2854.0,T3A,1
445,1432,21,68,7.15,9.284765625,5.456539241395637,11.195547572178649,2.5532130719148163,T3A,2255.0,T3A,1
467,1504,22,68,6.4953125,9.959375,5.456539241395637,11.195547572178649,1.614674119133116,T3A,2533.0,T3A,1
491,1582,23,68,5.6,10.259375,5.456539241395637,11.195547572178649,0.9471008785546162,T3A,2170.0,T3A,1
