base_trial_name,session_id,repeat_instance_index,trial_order_position,symmetry_transform
L60,463,0,1,4
L35,463,0,2,2
L45,463,0,3,4
L32,463,0,4,1
L57,463,0,5,6
L46,463,0,6,5
L2,463,0,7,5
L55,463,0,8,7
L74,463,0,9,3
L30,463,0,10,2
L25,463,0,11,5
L11,463,0,12,6
L23,463,0,13,2
L48,463,0,14,4
L13,463,0,15,6
L56,463,0,16,4
L4,463,0,17,0
L68,463,0,18,3
L59,463,0,19,5
L24,463,0,20,0
L65,463,0,21,3
L47,463,0,22,0
L70,463,0,23,5
L37,463,0,24,0
L18,463,0,25,4
L33,463,0,26,1
L58,463,0,27,1
L38,463,0,28,1
L6,463,0,29,6
L19,463,0,30,2
L71,463,0,31,6
L51,463,0,32,2
L21,463,0,33,3
L44,463,0,34,1
L5,463,0,35,2
L15,463,0,36,7
L10,463,0,37,5
L64,463,0,38,5
L22,463,0,39,6
L8,463,0,40,5
L26,463,0,41,7
L1,463,0,42,2
L53,463,0,43,1
L3,463,0,44,6
L49,463,0,45,0
L14,463,0,46,0
L54,463,0,47,3
L61,463,0,48,3
L28,463,0,49,6
L69,463,0,50,2
L41,463,0,51,1
L72,463,0,52,2
L34,463,0,53,0
L40,463,0,54,7
L17,463,0,55,5
L12,463,0,56,7
L42,463,0,57,3
L75,463,0,58,7
L31,463,0,59,4
L9,463,0,60,5
L50,463,0,61,7
L73,463,0,62,4
L39,463,0,63,0
L36,463,0,64,0
L43,463,0,65,0
L16,463,0,66,7
L29,463,0,67,6
L63,463,0,68,4
L27,463,0,69,6
L67,463,0,70,3
L7,463,0,71,5
L52,463,0,72,2
L62,463,0,73,2
L66,463,0,74,6
L20,463,0,75,0
L65,464,0,1,4
L63,464,0,2,5
L27,464,0,3,7
L12,464,0,4,0
L44,464,0,5,2
L47,464,0,6,1
L42,464,0,7,4
L20,464,0,8,1
L75,464,0,9,0
L37,464,0,10,1
L62,464,0,11,3
L11,464,0,12,7
L1,464,0,13,3
L43,464,0,14,1
L52,464,0,15,3
L34,464,0,16,1
L48,464,0,17,5
L53,464,0,18,2
L49,464,0,19,1
L68,464,0,20,4
L35,464,0,21,3
L31,464,0,22,5
L9,464,0,23,6
L54,464,0,24,4
L74,464,0,25,4
L66,464,0,26,7
L55,464,0,27,0
L69,464,0,28,3
L38,464,0,29,2
L18,464,0,30,5
L51,464,0,31,3
L24,464,0,32,1
L25,464,0,33,6
L67,464,0,34,4
L60,464,0,35,5
L39,464,0,36,1
L4,464,0,37,1
L41,464,0,38,2
L45,464,0,39,5
L21,464,0,40,4
L59,464,0,41,6
L15,464,0,42,0
L40,464,0,43,0
L36,464,0,44,1
L16,464,0,45,0
L72,464,0,46,3
L13,464,0,47,7
L7,464,0,48,6
L32,464,0,49,2
L3,464,0,50,7
L64,464,0,51,6
L2,464,0,52,6
L58,464,0,53,2
L8,464,0,54,6
L30,464,0,55,3
L22,464,0,56,7
L57,464,0,57,7
L71,464,0,58,7
L70,464,0,59,6
L29,464,0,60,7
L33,464,0,61,2
L5,464,0,62,3
L73,464,0,63,5
L10,464,0,64,6
L50,464,0,65,0
L56,464,0,66,5
L19,464,0,67,3
L26,464,0,68,0
L28,464,0,69,7
L23,464,0,70,3
L17,464,0,71,6
L61,464,0,72,4
L6,464,0,73,7
L46,464,0,74,6
L14,464,0,75,1
L61,469,0,1,1
L9,469,0,2,3
L25,469,0,3,3
L5,469,0,4,0
L4,469,0,5,6
L51,469,0,6,0
L3,469,0,7,4
L43,469,0,8,6
L62,469,0,9,0
L36,469,0,10,6
L28,469,0,11,4
L31,469,0,12,2
L27,469,0,13,4
L13,469,0,14,4
L75,469,0,15,5
L48,469,0,16,2
L7,469,0,17,3
L21,469,0,18,1
L58,469,0,19,7
L54,469,0,20,1
L14,469,0,21,6
L6,469,0,22,4
L64,469,0,23,3
L52,469,0,24,0
L65,469,0,25,1
L19,469,0,26,0
L67,469,0,27,1
L70,469,0,28,3
L37,469,0,29,6
L34,469,0,30,6
L74,469,0,31,1
L29,469,0,32,4
L56,469,0,33,2
L20,469,0,34,6
L69,469,0,35,0
L50,469,0,36,5
L57,469,0,37,4
L33,469,0,38,7
L10,469,0,39,3
L8,469,0,40,3
L11,469,0,41,4
L46,469,0,42,3
L1,469,0,43,0
L23,469,0,44,0
L12,469,0,45,5
L35,469,0,46,0
L53,469,0,47,7
L42,469,0,48,1
L26,469,0,49,5
L68,469,0,50,1
L60,469,0,51,2
L71,469,0,52,4
L49,469,0,53,6
L2,469,0,54,3
L44,469,0,55,7
L39,469,0,56,6
L66,469,0,57,4
L16,469,0,58,5
L45,469,0,59,2
L32,469,0,60,7
L73,469,0,61,2
L24,469,0,62,6
L18,469,0,63,2
L63,469,0,64,2
L22,469,0,65,4
L40,469,0,66,5
L59,469,0,67,3
L30,469,0,68,0
L55,469,0,69,5
L15,469,0,70,5
L47,469,0,71,6
L72,469,0,72,0
L38,469,0,73,7
L41,469,0,74,7
L17,469,0,75,3
L32,471,0,1,1
L1,471,0,2,2
L37,471,0,3,0
L41,471,0,4,1
L61,471,0,5,3
L49,471,0,6,0
L20,471,0,7,0
L42,471,0,8,3
L43,471,0,9,0
L68,471,0,10,3
L16,471,0,11,7
L4,471,0,12,0
L75,471,0,13,7
L50,471,0,14,7
L71,471,0,15,6
L27,471,0,16,6
L26,471,0,17,7
L12,471,0,18,7
L45,471,0,19,4
L40,471,0,20,7
L51,471,0,21,2
L9,471,0,22,5
L22,471,0,23,6
L29,471,0,24,6
L23,471,0,25,2
L36,471,0,26,0
L70,471,0,27,5
L65,471,0,28,3
L28,471,0,29,6
L60,471,0,30,4
L24,471,0,31,0
L5,471,0,32,2
L48,471,0,33,4
L18,471,0,34,4
L58,471,0,35,1
L72,471,0,36,2
L53,471,0,37,1
L38,471,0,38,1
L59,471,0,39,5
L52,471,0,40,2
L54,471,0,41,3
L57,471,0,42,6
L56,471,0,43,4
L44,471,0,44,1
L46,471,0,45,5
L13,471,0,46,6
L17,471,0,47,5
L3,471,0,48,6
L6,471,0,49,6
L31,471,0,50,4
L74,471,0,51,3
L73,471,0,52,4
L2,471,0,53,5
L8,471,0,54,5
L47,471,0,55,0
L66,471,0,56,6
L25,471,0,57,5
L67,471,0,58,3
L63,471,0,59,4
L14,471,0,60,0
L21,471,0,61,3
L10,471,0,62,5
L7,471,0,63,5
L55,471,0,64,7
L62,471,0,65,2
L33,471,0,66,1
L35,471,0,67,2
L19,471,0,68,2
L34,471,0,69,0
L64,471,0,70,5
L30,471,0,71,2
L39,471,0,72,0
L11,471,0,73,6
L69,471,0,74,2
L15,471,0,75,7
L22,472,0,1,7
L41,472,0,2,2
L17,472,0,3,6
L65,472,0,4,4
L6,472,0,5,7
L34,472,0,6,1
L67,472,0,7,4
L18,472,0,8,5
L38,472,0,9,2
L15,472,0,10,0
L72,472,0,11,3
L66,472,0,12,7
L58,472,0,13,2
L16,472,0,14,0
L40,472,0,15,0
L32,472,0,16,2
L12,472,0,17,0
L7,472,0,18,6
L42,472,0,19,4
L27,472,0,20,7
L2,472,0,21,6
L9,472,0,22,6
L43,472,0,23,1
L33,472,0,24,2
L3,472,0,25,7
L45,472,0,26,5
L70,472,0,27,6
L59,472,0,28,6
L24,472,0,29,1
L14,472,0,30,1
L63,472,0,31,5
L1,472,0,32,3
L25,472,0,33,6
L13,472,0,34,7
L49,472,0,35,1
L23,472,0,36,3
L36,472,0,37,1
L69,472,0,38,3
L51,472,0,39,3
L73,472,0,40,5
L54,472,0,41,4
L21,472,0,42,4
L50,472,0,43,0
L8,472,0,44,6
L60,472,0,45,5
L26,472,0,46,0
L75,472,0,47,0
L28,472,0,48,7
L20,472,0,49,1
L5,472,0,50,3
L37,472,0,51,1
L29,472,0,52,7
L10,472,0,53,6
L61,472,0,54,4
L52,472,0,55,3
L56,472,0,56,5
L39,472,0,57,1
L48,472,0,58,5
L31,472,0,59,5
L55,472,0,60,0
L47,472,0,61,1
L19,472,0,62,3
L71,472,0,63,7
L11,472,0,64,7
L35,472,0,65,3
L44,472,0,66,2
L30,472,0,67,3
L68,472,0,68,4
L62,472,0,69,3
L53,472,0,70,2
L64,472,0,71,6
L4,472,0,72,1
L74,472,0,73,4
L57,472,0,74,7
L46,472,0,75,6
L68,474,0,1,6
L22,474,0,2,1
L72,474,0,3,5
L17,474,0,4,0
L9,474,0,5,0
L56,474,0,6,7
L31,474,0,7,7
L14,474,0,8,3
L8,474,0,9,0
L5,474,0,10,5
L43,474,0,11,3
L59,474,0,12,0
L73,474,0,13,7
L74,474,0,14,6
L23,474,0,15,5
L36,474,0,16,3
L38,474,0,17,4
L47,474,0,18,3
L35,474,0,19,5
L6,474,0,20,1
L42,474,0,21,6
L61,474,0,22,6
L2,474,0,23,0
L16,474,0,24,2
L21,474,0,25,6
L70,474,0,26,0
L69,474,0,27,5
L34,474,0,28,3
L54,474,0,29,6
L45,474,0,30,7
L28,474,0,31,1
L18,474,0,32,7
L50,474,0,33,2
L20,474,0,34,3
L13,474,0,35,1
L52,474,0,36,5
L67,474,0,37,6
L11,474,0,38,1
L39,474,0,39,3
L41,474,0,40,4
L58,474,0,41,4
L40,474,0,42,2
L71,474,0,43,1
L1,474,0,44,5
L33,474,0,45,4
L62,474,0,46,5
L66,474,0,47,1
L65,474,0,48,6
L25,474,0,49,0
L49,474,0,50,3
L63,474,0,51,7
L12,474,0,52,2
L48,474,0,53,7
L37,474,0,54,3
L29,474,0,55,1
L3,474,0,56,1
L27,474,0,57,1
L46,474,0,58,0
L64,474,0,59,0
L24,474,0,60,3
L44,474,0,61,4
L55,474,0,62,2
L60,474,0,63,7
L30,474,0,64,5
L7,474,0,65,0
L53,474,0,66,4
L4,474,0,67,3
L57,474,0,68,1
L75,474,0,69,2
L32,474,0,70,4
L15,474,0,71,2
L10,474,0,72,0
L51,474,0,73,5
L19,474,0,74,5
L26,474,0,75,2
L21,478,0,1,2
L11,478,0,2,5
L34,478,0,3,7
L30,478,0,4,1
L62,478,0,5,1
L47,478,0,6,7
L75,478,0,7,6
L60,478,0,8,3
L48,478,0,9,3
L71,478,0,10,5
L66,478,0,11,5
L32,478,0,12,0
L23,478,0,13,1
L72,478,0,14,1
L67,478,0,15,2
L36,478,0,16,7
L13,478,0,17,5
L37,478,0,18,7
L51,478,0,19,1
L25,478,0,20,4
L33,478,0,21,0
L64,478,0,22,4
L45,478,0,23,3
L19,478,0,24,1
L59,478,0,25,4
L2,478,0,26,4
L61,478,0,27,2
L35,478,0,28,1
L14,478,0,29,7
L31,478,0,30,3
L1,478,0,31,1
L18,478,0,32,3
L54,478,0,33,2
L50,478,0,34,6
L53,478,0,35,0
L41,478,0,36,0
L12,478,0,37,6
L6,478,0,38,5
L28,478,0,39,5
L39,478,0,40,7
L68,478,0,41,2
L63,478,0,42,3
L20,478,0,43,7
L40,478,0,44,6
L26,478,0,45,6
L7,478,0,46,4
L49,478,0,47,7
L46,478,0,48,4
L70,478,0,49,4
L56,478,0,50,3
L3,478,0,51,5
L57,478,0,52,5
L74,478,0,53,2
L43,478,0,54,7
L58,478,0,55,0
L73,478,0,56,3
L55,478,0,57,6
L8,478,0,58,4
L38,478,0,59,0
L15,478,0,60,6
L9,478,0,61,4
L27,478,0,62,5
L44,478,0,63,0
L69,478,0,64,1
L29,478,0,65,5
L10,478,0,66,4
L17,478,0,67,4
L5,478,0,68,1
L42,478,0,69,2
L22,478,0,70,5
L4,478,0,71,7
L24,478,0,72,7
L65,478,0,73,2
L16,478,0,74,6
L52,478,0,75,1
L5,480,0,1,3
L65,480,0,2,4
L54,480,0,3,4
L12,480,0,4,0
L68,480,0,5,4
L8,480,0,6,6
L74,480,0,7,4
L15,480,0,8,0
L51,480,0,9,3
L64,480,0,10,6
L2,480,0,11,6
L45,480,0,12,5
L13,480,0,13,7
L1,480,0,14,3
L18,480,0,15,5
L26,480,0,16,0
L44,480,0,17,2
L36,480,0,18,1
L22,480,0,19,7
L61,480,0,20,4
L39,480,0,21,1
L17,480,0,22,6
L52,480,0,23,3
L46,480,0,24,6
L3,480,0,25,7
L4,480,0,26,1
L11,480,0,27,7
L50,480,0,28,0
L16,480,0,29,0
L73,480,0,30,5
L27,480,0,31,7
L34,480,0,32,1
L41,480,0,33,2
L72,480,0,34,3
L71,480,0,35,7
L21,480,0,36,4
L38,480,0,37,2
L56,480,0,38,5
L29,480,0,39,7
L14,480,0,40,1
L43,480,0,41,1
L28,480,0,42,7
L31,480,0,43,5
L19,480,0,44,3
L49,480,0,45,1
L59,480,0,46,6
L57,480,0,47,7
L10,480,0,48,6
L47,480,0,49,1
L32,480,0,50,2
L66,480,0,51,7
L7,480,0,52,6
L35,480,0,53,3
L62,480,0,54,3
L40,480,0,55,0
L30,480,0,56,3
L33,480,0,57,2
L24,480,0,58,1
L20,480,0,59,1
L48,480,0,60,5
L70,480,0,61,6
L60,480,0,62,5
L75,480,0,63,0
L23,480,0,64,3
L55,480,0,65,0
L37,480,0,66,1
L6,480,0,67,7
L25,480,0,68,6
L53,480,0,69,2
L9,480,0,70,6
L63,480,0,71,5
L69,480,0,72,3
L42,480,0,73,4
L58,480,0,74,2
L67,480,0,75,4
L59,481,0,1,7
L53,481,0,2,3
L41,481,0,3,3
L58,481,0,4,3
L14,481,0,5,2
L15,481,0,6,1
L5,481,0,7,4
L62,481,0,8,4
L39,481,0,9,2
L38,481,0,10,3
L57,481,0,11,0
L7,481,0,12,7
L50,481,0,13,1
L27,481,0,14,0
L48,481,0,15,6
L45,481,0,16,6
L17,481,0,17,7
L16,481,0,18,1
L63,481,0,19,6
L35,481,0,20,4
L56,481,0,21,6
L69,481,0,22,4
L26,481,0,23,1
L32,481,0,24,3
L34,481,0,25,2
L33,481,0,26,3
L3,481,0,27,0
L37,481,0,28,2
L73,481,0,29,6
L36,481,0,30,2
L52,481,0,31,4
L71,481,0,32,0
L72,481,0,33,4
L75,481,0,34,1
L67,481,0,35,5
L10,481,0,36,7
L19,481,0,37,4
L24,481,0,38,2
L8,481,0,39,7
L55,481,0,40,1
L66,481,0,41,0
L2,481,0,42,7
L54,481,0,43,5
L22,481,0,44,0
L30,481,0,45,4
L65,481,0,46,5
L44,481,0,47,3
L60,481,0,48,6
L47,481,0,49,2
L43,481,0,50,2
L40,481,0,51,1
L13,481,0,52,0
L6,481,0,53,0
L4,481,0,54,2
L21,481,0,55,5
L68,481,0,56,5
