id,trial_id,session_id,pause_frame,click_bottom_left_x,click_bottom_left_y,ball_x,ball_y,diameters_away,trial_name,reaction_time_ms,global_trial_name,repeat_instance_index
17,45,4,56,9.35,13.734765625,6.82345581252547,13.77857222677078,2.52692393031924,T11,3148.0,T11,0
25,74,5,56,8.7,11.640000152587891,6.82345581252547,13.77857222677078,2.8451552864508725,T11,3129.0,T11,0
47,139,6,56,2.225,5.034765625,6.82345581252547,13.77857222677078,9.879268684923979,T11,4081.0,T11,0
41,123,7,56,7.5,12.84000015258789,6.82345581252547,13.77857222677078,1.156991605864772,T11,4764.0,T11,0
112,354,8,56,8.73984375,13.234765625,6.82345581252547,13.77857222677078,1.9920512912642006,T11,2050.0,T11,0
136,432,9,56,16.8,1.8900001525878904,6.82345581252547,13.77857222677078,15.519973578832957,T11,3760.0,T11,0
158,504,10,56,11.009999084472657,10.79000015258789,6.82345581252547,13.77857222677078,5.143802835497496,T11,2882.0,T11,0
222,712,11,56,7.25,13.759375,6.82345581252547,13.77857222677078,0.4269759681574546,T11,1925.0,T11,0
165,523,12,56,2.9734375,3.1265625,6.82345581252547,13.77857222677078,11.326427160671663,T11,3424.0,T11,0
166,528,13,56,9.1296875,12.309375,6.82345581252547,13.77857222677078,2.73445517196069,T11,2633.0,T11,0
183,582,14,56,7.25,12.86953125,6.82345581252547,13.77857222677078,1.0041391543589375,T11,3399.0,T11,0
272,869,15,56,8.7953125,10.909375,6.82345581252547,13.77857222677078,3.4814525017651983,T11,4649.0,T11,0
266,852,16,56,9.633332824707031,11.8765625,6.82345581252547,13.77857222677078,3.3930885376478215,T11,3681.0,T11,0
295,951,17,56,9.125,12.334765625,6.82345581252547,13.77857222677078,2.7169253118579992,T11,2464.0,T11,0
302,972,18,56,9.910000610351563,11.59000015258789,6.82345581252547,13.77857222677078,3.7837291806999764,T11,3380.0,T11,0
328,1051,19,56,7.225,13.484765625,6.82345581252547,13.77857222677078,0.49755407117083694,T11,2796.0,T11,0
337,1075,20,56,10.0,12.04000015258789,6.82345581252547,13.77857222677078,3.6211967403203627,T11,2327.0,T11,0
348,1103,21,56,7.949999999999999,12.384765625,6.82345581252547,13.77857222677078,1.792149170541464,T11,2329.0,T11,0
450,1446,22,56,8.1953125,11.359375,6.82345581252547,13.77857222677078,2.781097983348308,T11,3092.0,T11,0
474,1524,23,56,7.15,13.409375,6.82345581252547,13.77857222677078,0.492887105358454,T11,2689.0,T11,0
